#;Hotel Name;Country;Price of the cheapest room;Link;Comment
1;Constance Halaveli, Maldives;Republic of Maldives;1,305.00 USD;http://www.lhw.com/hotel/Constance-Halaveli-Maldives-Halaveli-Republic-of-Maldives/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
2;Taj Exotica Resort & Spa;Republic of Maldives;990.00 USD;http://www.lhw.com/hotel/Taj-Exotica-Resort-Spa-South-Male-Atoll-Republic-of-Maldives/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
3;The Residence Maldives;Republic of Maldives;900.00 USD;http://www.lhw.com/hotel/The-Residence-Maldives-Gaafu-Alifu-Atoll-Republic-of-Maldives/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
4;Capella Singapore;Singapore;814.92 USD;http://www.lhw.com/hotel/Capella-Singapore-Singapore-City-Singapore/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
5;Hullett House;Hong Kong;838.42 USD;http://www.lhw.com/hotel/Hullett-House-Kowloon-Hong-Kong/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
6;Taj Lake Palace;India;691.32 USD;http://www.lhw.com/hotel/Taj-Lake-Palace-Udaipur-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
7;Umaid Bhawan Palace;India;592.20 USD;http://www.lhw.com/hotel/Umaid-Bhawan-Palace-Jodhpur-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
8;Kanuhura Maldives;Republic of Maldives;580.00 USD;http://www.lhw.com/hotel/Kanuhura-Maldives-Lhaviyani-Atoll-Republic-of-Maldives/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
9;The Nam Hai, Hoi An, Vietnam;Vietnam;553.00 USD;http://www.lhw.com/hotel/The-Nam-Hai-Hoi-An-Vietnam-Hoi-AnQuang-Nam-Province-Vietnam/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
10;Rambagh Palace;India;533.07 USD;http://www.lhw.com/hotel/Rambagh-Palace-Jaipur-Rajasthan-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
11;The Legian Bali;Indonesia;510.00 USD;http://www.lhw.com/hotel/The-Legian-Bali-Bali-Indonesia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
12;The Datai Langkawi;Malaysia;509.23 USD;http://www.lhw.com/hotel/The-Datai-Langkawi-Langkawi-Malaysia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
13;The Mulia – Nusa Dua, Bali;Indonesia;496.00 USD;http://www.lhw.com/hotel/The-Mulia-Bali-Nusa-Dua-Indonesia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
14;The Chedi Club Tanah Gajah, Ubud;Indonesia;440.00 USD;http://www.lhw.com/hotel/The-Chedi-Club-Tanah-Gajah-Ubud-Bali-Indonesia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
15;The Strand Yangon;Myanmar;424.35 USD;http://www.lhw.com/hotel/The-Strand-Yangon-Yangon-Myanmar/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
16;The Windsor Hotel TOYA Resort & Spa;Japan;410.93 USD;http://www.lhw.com/hotel/The-Windsor-Hotel-TOYA-Resort-Spa-Hokkaido-Japan/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
17;Taj Falaknuma Palace Hyderabad;India;406.46 USD;http://www.lhw.com/hotel/Taj-Falaknuma-Palace-Hyderabad-Hyderabad-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
18;The Swatch Art Peace Hotel;China;391.43 USD;http://www.lhw.com/hotel/Swatch-Art-Peace-Hotel-Shanghai-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
19;The Shilla Seoul;Korea;388.33 USD;http://www.lhw.com/hotel/The-Shilla-Seoul-Seoul-Korea/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
20;Palace Hotel Tokyo;Japan;371.79 USD;http://www.lhw.com/hotel/Palace-Hotel-Tokyo-Tokyo-Japan/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
21;Fuchun Resort;China;367.46 USD;http://www.lhw.com/hotel/Fuchun-Resort-Hangzhou-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
22;Belmond Jimbaran Puri;Indonesia;365.00 USD;http://www.lhw.com/hotel/Belmond-Jimbaran-Puri-Bali-Indonesia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
23;Rayavadee;Thailand;356.04 USD;http://www.lhw.com/hotel/Rayavadee-Krabi-Thailand/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
24;Imperial Hotel, Tokyo;Japan;330.70 USD;http://www.lhw.com/hotel/Imperial-Hotel-Tokyo-Tokyo-Japan/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
25;Hotel Okura, Tokyo;Japan;322.87 USD;http://www.lhw.com/hotel/Hotel-Okura-Tokyo-Tokyo-Japan/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
26;The Taj Mahal Palace, Mumbai;India;308.18 USD;http://www.lhw.com/hotel/The-Taj-Mahal-Palace-Mumbai-Mumbai-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
27;Fairmont Peace Hotel;China;285.18 USD;http://www.lhw.com/hotel/Fairmont-Peace-Hotel-Shanghai-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
28;Belmond Napasai;Thailand;281.73 USD;http://www.lhw.com/hotel/Belmond-Napasai-Koh-Samui-Thailand/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
29;The PuLi Hotel and Spa;China;249.24 USD;http://www.lhw.com/hotel/The-PuLi-Hotel-Spa-Shanghai-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
30;Islamabad Serena Hotel;Pakistan;245.00 USD;http://www.lhw.com/hotel/Islamabad-Serena-Hotel-Islamabad-Pakistan/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
31;Taj West End;India;224.89 USD;http://www.lhw.com/hotel/Taj-West-End-Bangalore-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
32;Chateau Nouveau Pudong;China;220.48 USD;http://www.lhw.com/hotel/Chateau-Nouveau-Pudong-Shanghai-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
33;Santiburi Beach Resort, Golf & Spa;Thailand;217.06 USD;http://www.lhw.com/hotel/Santiburi-Beach-Resort-Golf-Spa-Koh-Samui-Thailand/select-room?indate=20140905&outdate=20140906&rooms=1&numadult1=2&numchild1=0&cur=USD;5-6 Sep
34;Paradise Hotel & Casino, Busan;Korea;208.73 USD;http://www.lhw.com/hotel/Paradise-Hotel-Casino-Busan-Busan-Korea/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
35;Imperial Hotel Osaka;Japan;205.46 USD;http://www.lhw.com/hotel/Imperial-Hotel-Osaka-Osaka-Japan/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
36;The Taj Mahal Hotel, New Delhi;India;186.57 USD;http://www.lhw.com/hotel/The-Taj-Mahal-Hotel-New-Delhi-New-Delhi-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
37;The Okura Prestige Bangkok;Thailand;183.90 USD;http://www.lhw.com/hotel/The-Okura-Prestige-Bangkok-Bangkok-Thailand/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
38;The Hermitage;Indonesia;178.00 USD;http://www.lhw.com/hotel/The-Hermitage-Menteng-Jakarta-Pusat-Indonesia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
39;Centara Grand Beach Resort & Villas;Thailand;156.04 USD;http://www.lhw.com/hotel/Centara-Grand-Beach-Resort-Villas-Hua-Hin-Thailand/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
40;The PuYu Hotel and Spa;China;153.70 USD;http://www.lhw.com/hotel/PuYu-Hotel-Spa-Wuhan-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
41;Taj Lands End, Mumbai;India;153.26 USD;http://www.lhw.com/hotel/Taj-Lands-End-Mumbai-Mumbai-India/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
42;The Majestic Hotel Kuala Lumpur;Malaysia;137.78 USD;http://www.lhw.com/hotel/The-Majestic-Hotel-Kuala-Lumpur-Kuala-Lumpur-Malaysia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
43;The Sukhothai Bangkok;Thailand;128.61 USD;http://www.lhw.com/hotel/The-Sukhothai-Bangkok-Bangkok-Thailand/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
44;Chateau Star River;China;111.14 USD;http://www.lhw.com/hotel/Chateau-Star-River-Guangzhou-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
45;Chateau Haiyi Guangzhou;China;104.20 USD;http://www.lhw.com/hotel/Chateau-Haiyi-Guangzhou-Guangzhou-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;    
46;White Swan Hotel;China;no rooms av;http://www.lhw.com/hotel/White-Swan-Hotel-Guangzhou-China/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;    
47;The Reverie Saigon;Vietnam;no rooms av;http://www.lhw.com/hotel/The-Reverie-Saigon-Ho-Chi-Minh-City-Vietnam;    
48;The Patina, Capitol Singapore;Singapore;no rooms av;http://www.lhw.com/hotel/The-Patina-Capitol-Singapore-Singapore;    
