#;Hotel Name;Country;Price of the cheapest room;Link;      
1;Tortuga Bay;Dominican Republic;3,150.00 USD;http://www.lhw.com/hotel/Tortuga-Bay-Punta-Cana-Dominican-Republic/select-room?indate=20141016&outdate=20141017&rooms=1&numadult1=2&numchild1=0&cur=USD;16-17 Oct
2;Canouan Resort;St. Vincent & the Grenadines;2,700.00 USD;http://www.lhw.com/hotel/Canouan-Resort-Canouan-Island-St-Vincent-the-Grenadines/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
3;Carlisle Bay;Antigua;1,350.00 USD;http://www.lhw.com/hotel/Carlisle-Bay-St-Marys-Antigua-West-Indies/select-room?indate=20141019&outdate=20141020&rooms=1&numadult1=2&numchild1=0&cur=USD;19-20 Oct
4;Sandy Lane;Barbados;1,090.00 USD;http://www.lhw.com/hotel/Sandy-Lane-St-James-Barbados/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
5;Le Sereno Hotel, Villas & Spa;St. Barth?l?my;762.94 USD;http://www.lhw.com/hotel/Le-Sereno-Hotel-Villas-Spa-St-Barthelemy-St-Barthelemy/select-room?indate=20141022&outdate=20141023&rooms=1&numadult1=2&numchild1=0&cur=USD;22-23 Oct
6;Hotel Guanahani & Spa;St. Barth?l?my;665.84 USD;http://www.lhw.com/hotel/Hotel-Guanahani-Spa-St-Barthelemy-St-Barthelemy/select-room?indate=20141030&outdate=20141031&rooms=1&numadult1=2&numchild1=0&cur=USD;30-31 Oct
7;Grace Bay Club;Turks And Caicos Islands;496.00 USD;http://www.lhw.com/hotel/Grace-Bay-Club-Providenciales-Turks-And-Caicos-Islands/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
8;Cap Juluca;Anguilla;495.00 USD;http://www.lhw.com/hotel/Cap-Juluca-Anguilla-Anguilla/select-room?indate=20140830&outdate=20140831&rooms=1&numadult1=2&numchild1=0&cur=USD;30-31 Aug
9;Cotton House;St. Vincent & the Grenadines;450.00 USD;http://www.lhw.com/hotel/Cotton-House-Mustique-St-Vincent-the-Grenadines/select-room?indate=20140828&outdate=20140829&rooms=1&numadult1=2&numchild1=0&cur=USD;28-29 Aug
10;Caneel Bay Resort;U.S. Virgin Islands;449.00 USD;http://www.lhw.com/hotel/Caneel-Bay-Resort-St-John-US-Virgin-Islands/select-room?indate=20140824&outdate=20140825&rooms=1&numadult1=2&numchild1=0&cur=USD;24-25 Aug
11;Belmond La Samanna;St. Martin;445.00 USD;http://www.lhw.com/hotel/Belmond-La-Samanna-St-Martin-French-West-Indies/select-room?indate=20141102&outdate=20141103&rooms=1&numadult1=2&numchild1=0&cur=USD;2-3 Nov
12;CuisinArt Golf Resort & Spa;Anguilla;420.00 USD;http://www.lhw.com/hotel/CuisinArt-Golf-Resort-Spa-Anguilla-Anguilla/select-room?indate=20141019&outdate=20141020&rooms=1&numadult1=2&numchild1=0&cur=USD;19-20 Oct
13;Casa de Campo;Dominican Republic;375.00 USD/;http://www.lhw.com/hotel/Casa-de-Campo-La-Romana-Dominican-Republic/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
